,range,true_reward,best_path,model1_punish_0,model1_punish_0.04,model1_punish_0.06,model1_punish_0.08,model1_punish_0.1,model1_punish_0.2,model2_punish_0,model2_punish_1,model2_punish_5,model2_punish_10,model3_punish_0,model3_punish_1,model3_punish_5,model3_punish_10,model4_punish_0,model3_punish_0.1,model3_punish_0.5,model3_punish_3,model1_punish_0.01,model1_punish_0.02,model1_punish_0.03,model1_punish_0.05,model3_punish_0.8,model3_punish_1.2,model2_punish_0.2,model2_punish_0.4,model2_punish_0.6,model2_punish_0.8,model2_punish_2
13,"('2019-11-08', '2019-11-17')","[-0.0689196, -0.11110701, -0.14222539, -0.20707455, -0.22597524, -0.11958275, -0.10108696, -0.14552328, -0.21551684, -0.26467669]",['2019-11-08' '2019-11-14' '2019-11-09' '2019-11-13' '2019-11-10'],"['2019-11-08', '2019-11-09', '2019-11-13', '2019-11-14', '2019-11-15']","['2019-11-08', '2019-11-09', '2019-11-10', '2019-11-14', '2019-11-15']","['2019-11-08', '2019-11-09', '2019-11-10', '2019-11-13', '2019-11-14']","['2019-11-08', '2019-11-09', '2019-11-10', '2019-11-13', '2019-11-14']","['2019-11-08', '2019-11-09', '2019-11-10', '2019-11-13', '2019-11-14']","['2019-11-08', '2019-11-09', '2019-11-10', '2019-11-13', '2019-11-14']","['2019-11-08', '2019-11-09', '2019-11-13', '2019-11-14', '2019-11-15']","['2019-11-08', '2019-11-09', '2019-11-10', '2019-11-14', '2019-11-15']","['2019-11-08', '2019-11-09', '2019-11-10', '2019-11-11', '2019-11-13']","['2019-11-08', '2019-11-09', '2019-11-10', '2019-11-11', '2019-11-13']","['2019-11-08', '2019-11-09', '2019-11-13', '2019-11-14', '2019-11-15']","['2019-11-08', '2019-11-09', '2019-11-10', '2019-11-14', '2019-11-15']","['2019-11-08', '2019-11-09', '2019-11-10', '2019-11-13', '2019-11-14']","['2019-11-08', '2019-11-09', '2019-11-10', '2019-11-13', '2019-11-14']","['2019-11-08', '2019-11-09', '2019-11-13', '2019-11-14', '2019-11-15']","['2019-11-08', '2019-11-09', '2019-11-13', '2019-11-14', '2019-11-15']","['2019-11-08', '2019-11-09', '2019-11-13', '2019-11-14', '2019-11-15']","['2019-11-08', '2019-11-09', '2019-11-10', '2019-11-14', '2019-11-15']","['2019-11-08', '2019-11-09', '2019-11-10', '2019-11-14', '2019-11-15']","['2019-11-08', '2019-11-09', '2019-11-10', '2019-11-14', '2019-11-15']","['2019-11-08', '2019-11-09', '2019-11-10', '2019-11-14', '2019-11-15']","['2019-11-08', '2019-11-09', '2019-11-10', '2019-11-14', '2019-11-15']","['2019-11-08', '2019-11-09', '2019-11-13', '2019-11-14', '2019-11-15']","['2019-11-08', '2019-11-09', '2019-11-10', '2019-11-14', '2019-11-15']","['2019-11-08', '2019-11-09', '2019-11-13', '2019-11-14', '2019-11-15']","['2019-11-08', '2019-11-09', '2019-11-10', '2019-11-14', '2019-11-15']","['2019-11-08', '2019-11-09', '2019-11-10', '2019-11-14', '2019-11-15']","['2019-11-08', '2019-11-09', '2019-11-10', '2019-11-14', '2019-11-15']","['2019-11-08', '2019-11-09', '2019-11-10', '2019-11-14', '2019-11-15']"
14,"('2019-11-09', '2019-11-18')","[-0.11110701, -0.14222539, -0.20707455, -0.22597524, -0.11958275, -0.10108696, -0.14552328, -0.21551684, -0.26467669, -0.22998919]",['2019-11-14' '2019-11-09' '2019-11-13' '2019-11-10' '2019-11-15'],"['2019-11-09', '2019-11-11', '2019-11-13', '2019-11-14', '2019-11-15']","['2019-11-09', '2019-11-10', '2019-11-13', '2019-11-14', '2019-11-15']","['2019-11-09', '2019-11-10', '2019-11-13', '2019-11-14', '2019-11-15']","['2019-11-09', '2019-11-10', '2019-11-11', '2019-11-13', '2019-11-14']","['2019-11-09', '2019-11-10', '2019-11-11', '2019-11-13', '2019-11-14']","['2019-11-09', '2019-11-10', '2019-11-11', '2019-11-13', '2019-11-14']","['2019-11-09', '2019-11-11', '2019-11-13', '2019-11-14', '2019-11-15']","['2019-11-09', '2019-11-10', '2019-11-13', '2019-11-14', '2019-11-15']","['2019-11-09', '2019-11-10', '2019-11-11', '2019-11-13', '2019-11-14']","['2019-11-09', '2019-11-10', '2019-11-11', '2019-11-12', '2019-11-13']","['2019-11-09', '2019-11-11', '2019-11-13', '2019-11-14', '2019-11-15']","['2019-11-09', '2019-11-10', '2019-11-13', '2019-11-14', '2019-11-15']","['2019-11-09', '2019-11-10', '2019-11-13', '2019-11-14', '2019-11-16']","['2019-11-09', '2019-11-10', '2019-11-13', '2019-11-14', '2019-11-16']","['2019-11-09', '2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16']","['2019-11-09', '2019-11-11', '2019-11-13', '2019-11-14', '2019-11-15']","['2019-11-09', '2019-11-11', '2019-11-13', '2019-11-14', '2019-11-15']","['2019-11-09', '2019-11-10', '2019-11-13', '2019-11-14', '2019-11-15']","['2019-11-09', '2019-11-10', '2019-11-13', '2019-11-14', '2019-11-15']","['2019-11-09', '2019-11-10', '2019-11-13', '2019-11-14', '2019-11-15']","['2019-11-09', '2019-11-10', '2019-11-13', '2019-11-14', '2019-11-15']","['2019-11-09', '2019-11-10', '2019-11-13', '2019-11-14', '2019-11-15']","['2019-11-09', '2019-11-11', '2019-11-13', '2019-11-14', '2019-11-15']","['2019-11-09', '2019-11-10', '2019-11-13', '2019-11-14', '2019-11-15']","['2019-11-09', '2019-11-11', '2019-11-13', '2019-11-14', '2019-11-15']","['2019-11-09', '2019-11-10', '2019-11-13', '2019-11-14', '2019-11-15']","['2019-11-09', '2019-11-10', '2019-11-13', '2019-11-14', '2019-11-15']","['2019-11-09', '2019-11-10', '2019-11-13', '2019-11-14', '2019-11-15']","['2019-11-09', '2019-11-10', '2019-11-13', '2019-11-14', '2019-11-15']"
15,"('2019-11-10', '2019-11-19')","[-0.14222539, -0.20707455, -0.22597524, -0.11958275, -0.10108696, -0.14552328, -0.21551684, -0.26467669, -0.22998919, -0.28462552]",['2019-11-14' '2019-11-13' '2019-11-10' '2019-11-15' '2019-11-11'],"['2019-11-11', '2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16']","['2019-11-10', '2019-11-11', '2019-11-13', '2019-11-14', '2019-11-15']","['2019-11-10', '2019-11-11', '2019-11-13', '2019-11-14', '2019-11-15']","['2019-11-10', '2019-11-11', '2019-11-13', '2019-11-14', '2019-11-15']","['2019-11-10', '2019-11-11', '2019-11-13', '2019-11-14', '2019-11-15']","['2019-11-10', '2019-11-11', '2019-11-12', '2019-11-13', '2019-11-14']","['2019-11-11', '2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16']","['2019-11-10', '2019-11-11', '2019-11-13', '2019-11-14', '2019-11-15']","['2019-11-10', '2019-11-11', '2019-11-13', '2019-11-14', '2019-11-15']","['2019-11-10', '2019-11-11', '2019-11-12', '2019-11-13', '2019-11-14']","['2019-11-11', '2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16']","['2019-11-10', '2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16']","['2019-11-10', '2019-11-12', '2019-11-13', '2019-11-14', '2019-11-16']","['2019-11-10', '2019-11-12', '2019-11-13', '2019-11-14', '2019-11-16']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16', '2019-11-18']","['2019-11-11', '2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16']","['2019-11-10', '2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16']","['2019-11-10', '2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16']","['2019-11-10', '2019-11-11', '2019-11-13', '2019-11-14', '2019-11-15']","['2019-11-10', '2019-11-11', '2019-11-13', '2019-11-14', '2019-11-15']","['2019-11-10', '2019-11-11', '2019-11-13', '2019-11-14', '2019-11-15']","['2019-11-10', '2019-11-11', '2019-11-13', '2019-11-14', '2019-11-15']","['2019-11-10', '2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16']","['2019-11-10', '2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16']","['2019-11-11', '2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16']","['2019-11-10', '2019-11-11', '2019-11-13', '2019-11-14', '2019-11-15']","['2019-11-10', '2019-11-11', '2019-11-13', '2019-11-14', '2019-11-15']","['2019-11-10', '2019-11-11', '2019-11-13', '2019-11-14', '2019-11-15']","['2019-11-10', '2019-11-11', '2019-11-13', '2019-11-14', '2019-11-15']"
16,"('2019-11-11', '2019-11-20')","[-0.20707455, -0.22597524, -0.11958275, -0.10108696, -0.14552328, -0.21551684, -0.26467669, -0.22998919, -0.28462552, -0.18993374]",['2019-11-14' '2019-11-13' '2019-11-15' '2019-11-20' '2019-11-11'],"['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16', '2019-11-20']","['2019-11-11', '2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16']","['2019-11-11', '2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16']","['2019-11-11', '2019-11-12', '2019-11-13', '2019-11-14', '2019-11-15']","['2019-11-11', '2019-11-12', '2019-11-13', '2019-11-14', '2019-11-15']","['2019-11-11', '2019-11-12', '2019-11-13', '2019-11-14', '2019-11-15']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16', '2019-11-20']","['2019-11-11', '2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16']","['2019-11-11', '2019-11-12', '2019-11-13', '2019-11-14', '2019-11-15']","['2019-11-11', '2019-11-12', '2019-11-13', '2019-11-14', '2019-11-15']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16', '2019-11-20']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16', '2019-11-20']","['2019-11-12', '2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16']","['2019-11-12', '2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-18', '2019-11-20']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16', '2019-11-20']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16', '2019-11-20']","['2019-11-12', '2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16']","['2019-11-11', '2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16']","['2019-11-11', '2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16']","['2019-11-11', '2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16']","['2019-11-11', '2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16', '2019-11-20']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16', '2019-11-20']","['2019-11-11', '2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16']","['2019-11-11', '2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16']","['2019-11-11', '2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16']","['2019-11-11', '2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16']","['2019-11-11', '2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16']"
17,"('2019-11-12', '2019-11-21')","[-0.22597524, -0.11958275, -0.10108696, -0.14552328, -0.21551684, -0.26467669, -0.22998919, -0.28462552, -0.18993374, -0.19463727]",['2019-11-14' '2019-11-13' '2019-11-15' '2019-11-20' '2019-11-21'],"['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16', '2019-11-21']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16', '2019-11-21']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16', '2019-11-21']","['2019-11-12', '2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16']","['2019-11-12', '2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16']","['2019-11-12', '2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16', '2019-11-21']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16', '2019-11-20']","['2019-11-12', '2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16']","['2019-11-12', '2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16', '2019-11-21']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16', '2019-11-20']","['2019-11-12', '2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16']","['2019-11-12', '2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-20', '2019-11-21']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16', '2019-11-21']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16', '2019-11-20']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16', '2019-11-19']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16', '2019-11-21']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16', '2019-11-21']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16', '2019-11-21']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16', '2019-11-21']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16', '2019-11-20']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16', '2019-11-20']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16', '2019-11-21']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16', '2019-11-21']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16', '2019-11-21']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16', '2019-11-21']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16', '2019-11-20']"
18,"('2019-11-13', '2019-11-22')","[-0.11958275, -0.10108696, -0.14552328, -0.21551684, -0.26467669, -0.22998919, -0.28462552, -0.18993374, -0.19463727, -0.32956768]",['2019-11-14' '2019-11-13' '2019-11-15' '2019-11-20' '2019-11-21'],"['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-20', '2019-11-21']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16', '2019-11-21']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16', '2019-11-21']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16', '2019-11-20']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16', '2019-11-20']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16', '2019-11-18']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-20', '2019-11-21']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16', '2019-11-20']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16', '2019-11-19']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16', '2019-11-18']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-20', '2019-11-21']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16', '2019-11-20']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16', '2019-11-19']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16', '2019-11-19']","['2019-11-14', '2019-11-15', '2019-11-20', '2019-11-21', '2019-11-22']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16', '2019-11-21']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16', '2019-11-20']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16', '2019-11-19']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16', '2019-11-21']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16', '2019-11-21']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16', '2019-11-21']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16', '2019-11-21']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16', '2019-11-20']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16', '2019-11-20']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16', '2019-11-21']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16', '2019-11-21']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16', '2019-11-21']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16', '2019-11-21']","['2019-11-13', '2019-11-14', '2019-11-15', '2019-11-16', '2019-11-20']"
19,"('2019-11-14', '2019-11-23')","[-0.10108696, -0.14552328, -0.21551684, -0.26467669, -0.22998919, -0.28462552, -0.18993374, -0.19463727, -0.32956768, -0.16665665]",['2019-11-14' '2019-11-15' '2019-11-23' '2019-11-20' '2019-11-21'],"['2019-11-14', '2019-11-15', '2019-11-20', '2019-11-21', '2019-11-23']","['2019-11-14', '2019-11-15', '2019-11-16', '2019-11-20', '2019-11-23']","['2019-11-14', '2019-11-15', '2019-11-16', '2019-11-20', '2019-11-21']","['2019-11-14', '2019-11-15', '2019-11-16', '2019-11-20', '2019-11-21']","['2019-11-14', '2019-11-15', '2019-11-16', '2019-11-18', '2019-11-20']","['2019-11-14', '2019-11-15', '2019-11-16', '2019-11-17', '2019-11-18']","['2019-11-14', '2019-11-15', '2019-11-20', '2019-11-21', '2019-11-23']","['2019-11-14', '2019-11-15', '2019-11-16', '2019-11-20', '2019-11-23']","['2019-11-14', '2019-11-15', '2019-11-16', '2019-11-18', '2019-11-19']","['2019-11-14', '2019-11-15', '2019-11-16', '2019-11-17', '2019-11-18']","['2019-11-14', '2019-11-15', '2019-11-20', '2019-11-21', '2019-11-23']","['2019-11-14', '2019-11-15', '2019-11-16', '2019-11-20', '2019-11-23']","['2019-11-14', '2019-11-15', '2019-11-16', '2019-11-19', '2019-11-23']","['2019-11-14', '2019-11-15', '2019-11-16', '2019-11-18', '2019-11-19']","['2019-11-14', '2019-11-15', '2019-11-21', '2019-11-22', '2019-11-23']","['2019-11-14', '2019-11-15', '2019-11-16', '2019-11-21', '2019-11-23']","['2019-11-14', '2019-11-15', '2019-11-16', '2019-11-20', '2019-11-23']","['2019-11-14', '2019-11-15', '2019-11-16', '2019-11-19', '2019-11-20']","['2019-11-14', '2019-11-15', '2019-11-16', '2019-11-21', '2019-11-23']","['2019-11-14', '2019-11-15', '2019-11-16', '2019-11-21', '2019-11-23']","['2019-11-14', '2019-11-15', '2019-11-16', '2019-11-21', '2019-11-23']","['2019-11-14', '2019-11-15', '2019-11-16', '2019-11-20', '2019-11-21']","['2019-11-14', '2019-11-15', '2019-11-16', '2019-11-20', '2019-11-23']","['2019-11-14', '2019-11-15', '2019-11-16', '2019-11-20', '2019-11-23']","['2019-11-14', '2019-11-15', '2019-11-16', '2019-11-21', '2019-11-23']","['2019-11-14', '2019-11-15', '2019-11-16', '2019-11-21', '2019-11-23']","['2019-11-14', '2019-11-15', '2019-11-16', '2019-11-21', '2019-11-23']","['2019-11-14', '2019-11-15', '2019-11-16', '2019-11-21', '2019-11-23']","['2019-11-14', '2019-11-15', '2019-11-16', '2019-11-20', '2019-11-23']"
20,"('2019-11-15', '2019-11-24')","[-0.14552328, -0.21551684, -0.26467669, -0.22998919, -0.28462552, -0.18993374, -0.19463727, -0.32956768, -0.16665665, -0.13448639]",['2019-11-24' '2019-11-15' '2019-11-23' '2019-11-20' '2019-11-21'],"['2019-11-15', '2019-11-20', '2019-11-21', '2019-11-23', '2019-11-24']","['2019-11-15', '2019-11-16', '2019-11-20', '2019-11-23', '2019-11-24']","['2019-11-15', '2019-11-16', '2019-11-20', '2019-11-21', '2019-11-24']","['2019-11-15', '2019-11-16', '2019-11-20', '2019-11-21', '2019-11-24']","['2019-11-15', '2019-11-16', '2019-11-18', '2019-11-20', '2019-11-24']","['2019-11-15', '2019-11-16', '2019-11-17', '2019-11-18', '2019-11-19']","['2019-11-15', '2019-11-20', '2019-11-21', '2019-11-23', '2019-11-24']","['2019-11-15', '2019-11-16', '2019-11-20', '2019-11-23', '2019-11-24']","['2019-11-15', '2019-11-16', '2019-11-18', '2019-11-19', '2019-11-20']","['2019-11-15', '2019-11-16', '2019-11-17', '2019-11-18', '2019-11-19']","['2019-11-15', '2019-11-20', '2019-11-21', '2019-11-23', '2019-11-24']","['2019-11-15', '2019-11-16', '2019-11-20', '2019-11-23', '2019-11-24']","['2019-11-15', '2019-11-16', '2019-11-19', '2019-11-23', '2019-11-24']","['2019-11-15', '2019-11-16', '2019-11-18', '2019-11-19', '2019-11-24']","['2019-11-15', '2019-11-21', '2019-11-22', '2019-11-23', '2019-11-24']","['2019-11-15', '2019-11-16', '2019-11-21', '2019-11-23', '2019-11-24']","['2019-11-15', '2019-11-16', '2019-11-20', '2019-11-23', '2019-11-24']","['2019-11-15', '2019-11-16', '2019-11-19', '2019-11-20', '2019-11-24']","['2019-11-15', '2019-11-16', '2019-11-21', '2019-11-23', '2019-11-24']","['2019-11-15', '2019-11-16', '2019-11-21', '2019-11-23', '2019-11-24']","['2019-11-15', '2019-11-16', '2019-11-21', '2019-11-23', '2019-11-24']","['2019-11-15', '2019-11-16', '2019-11-20', '2019-11-21', '2019-11-24']","['2019-11-15', '2019-11-16', '2019-11-20', '2019-11-23', '2019-11-24']","['2019-11-15', '2019-11-16', '2019-11-20', '2019-11-23', '2019-11-24']","['2019-11-15', '2019-11-16', '2019-11-21', '2019-11-23', '2019-11-24']","['2019-11-15', '2019-11-16', '2019-11-21', '2019-11-23', '2019-11-24']","['2019-11-15', '2019-11-16', '2019-11-21', '2019-11-23', '2019-11-24']","['2019-11-15', '2019-11-16', '2019-11-21', '2019-11-23', '2019-11-24']","['2019-11-15', '2019-11-16', '2019-11-20', '2019-11-23', '2019-11-24']"
21,"('2019-11-16', '2019-11-25')","[-0.21551684, -0.26467669, -0.22998919, -0.28462552, -0.18993374, -0.19463727, -0.32956768, -0.16665665, -0.13448639, -0.12779715]",['2019-11-25' '2019-11-24' '2019-11-23' '2019-11-20' '2019-11-21'],"['2019-11-20', '2019-11-21', '2019-11-23', '2019-11-24', '2019-11-25']","['2019-11-16', '2019-11-20', '2019-11-21', '2019-11-24', '2019-11-25']","['2019-11-16', '2019-11-20', '2019-11-21', '2019-11-24', '2019-11-25']","['2019-11-16', '2019-11-20', '2019-11-21', '2019-11-24', '2019-11-25']","['2019-11-16', '2019-11-18', '2019-11-20', '2019-11-21', '2019-11-25']","['2019-11-16', '2019-11-17', '2019-11-18', '2019-11-19', '2019-11-20']","['2019-11-20', '2019-11-21', '2019-11-23', '2019-11-24', '2019-11-25']","['2019-11-16', '2019-11-20', '2019-11-23', '2019-11-24', '2019-11-25']","['2019-11-16', '2019-11-18', '2019-11-19', '2019-11-20', '2019-11-24']","['2019-11-16', '2019-11-17', '2019-11-18', '2019-11-19', '2019-11-20']","['2019-11-20', '2019-11-21', '2019-11-23', '2019-11-24', '2019-11-25']","['2019-11-16', '2019-11-20', '2019-11-23', '2019-11-24', '2019-11-25']","['2019-11-16', '2019-11-19', '2019-11-21', '2019-11-24', '2019-11-25']","['2019-11-16', '2019-11-18', '2019-11-19', '2019-11-23', '2019-11-24']","['2019-11-21', '2019-11-22', '2019-11-23', '2019-11-24', '2019-11-25']","['2019-11-16', '2019-11-21', '2019-11-23', '2019-11-24', '2019-11-25']","['2019-11-16', '2019-11-20', '2019-11-23', '2019-11-24', '2019-11-25']","['2019-11-16', '2019-11-19', '2019-11-20', '2019-11-24', '2019-11-25']","['2019-11-16', '2019-11-21', '2019-11-23', '2019-11-24', '2019-11-25']","['2019-11-16', '2019-11-21', '2019-11-23', '2019-11-24', '2019-11-25']","['2019-11-16', '2019-11-21', '2019-11-23', '2019-11-24', '2019-11-25']","['2019-11-16', '2019-11-20', '2019-11-21', '2019-11-24', '2019-11-25']","['2019-11-16', '2019-11-20', '2019-11-23', '2019-11-24', '2019-11-25']","['2019-11-16', '2019-11-19', '2019-11-23', '2019-11-24', '2019-11-25']","['2019-11-16', '2019-11-21', '2019-11-23', '2019-11-24', '2019-11-25']","['2019-11-16', '2019-11-21', '2019-11-23', '2019-11-24', '2019-11-25']","['2019-11-16', '2019-11-21', '2019-11-23', '2019-11-24', '2019-11-25']","['2019-11-16', '2019-11-21', '2019-11-23', '2019-11-24', '2019-11-25']","['2019-11-16', '2019-11-19', '2019-11-20', '2019-11-24', '2019-11-25']"
22,"('2019-11-17', '2019-11-26')","[-0.26467669, -0.22998919, -0.28462552, -0.18993374, -0.19463727, -0.32956768, -0.16665665, -0.13448639, -0.12779715, -0.08499098]",['2019-11-26' '2019-11-25' '2019-11-24' '2019-11-23' '2019-11-20'],"['2019-11-21', '2019-11-23', '2019-11-24', '2019-11-25', '2019-11-26']","['2019-11-20', '2019-11-21', '2019-11-24', '2019-11-25', '2019-11-26']","['2019-11-20', '2019-11-21', '2019-11-24', '2019-11-25', '2019-11-26']","['2019-11-20', '2019-11-21', '2019-11-24', '2019-11-25', '2019-11-26']","['2019-11-18', '2019-11-20', '2019-11-21', '2019-11-25', '2019-11-26']","['2019-11-17', '2019-11-18', '2019-11-19', '2019-11-20', '2019-11-21']","['2019-11-21', '2019-11-23', '2019-11-24', '2019-11-25', '2019-11-26']","['2019-11-20', '2019-11-23', '2019-11-24', '2019-11-25', '2019-11-26']","['2019-11-17', '2019-11-18', '2019-11-19', '2019-11-20', '2019-11-26']","['2019-11-17', '2019-11-18', '2019-11-19', '2019-11-20', '2019-11-24']","['2019-11-21', '2019-11-23', '2019-11-24', '2019-11-25', '2019-11-26']","['2019-11-20', '2019-11-23', '2019-11-24', '2019-11-25', '2019-11-26']","['2019-11-19', '2019-11-21', '2019-11-24', '2019-11-25', '2019-11-26']","['2019-11-18', '2019-11-19', '2019-11-23', '2019-11-24', '2019-11-26']","['2019-11-21', '2019-11-22', '2019-11-24', '2019-11-25', '2019-11-26']","['2019-11-21', '2019-11-23', '2019-11-24', '2019-11-25', '2019-11-26']","['2019-11-20', '2019-11-23', '2019-11-24', '2019-11-25', '2019-11-26']","['2019-11-19', '2019-11-20', '2019-11-24', '2019-11-25', '2019-11-26']","['2019-11-21', '2019-11-23', '2019-11-24', '2019-11-25', '2019-11-26']","['2019-11-21', '2019-11-23', '2019-11-24', '2019-11-25', '2019-11-26']","['2019-11-21', '2019-11-23', '2019-11-24', '2019-11-25', '2019-11-26']","['2019-11-20', '2019-11-21', '2019-11-24', '2019-11-25', '2019-11-26']","['2019-11-20', '2019-11-23', '2019-11-24', '2019-11-25', '2019-11-26']","['2019-11-19', '2019-11-23', '2019-11-24', '2019-11-25', '2019-11-26']","['2019-11-21', '2019-11-23', '2019-11-24', '2019-11-25', '2019-11-26']","['2019-11-21', '2019-11-23', '2019-11-24', '2019-11-25', '2019-11-26']","['2019-11-21', '2019-11-23', '2019-11-24', '2019-11-25', '2019-11-26']","['2019-11-21', '2019-11-23', '2019-11-24', '2019-11-25', '2019-11-26']","['2019-11-19', '2019-11-20', '2019-11-24', '2019-11-25', '2019-11-26']"
